SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
61,DC:A6:32:33:E9:E9,2020-06-25 16:34:18.077597,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
62,DC:A6:32:33:E9:E9,2020-06-25 16:34:20.082054,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
63,DC:A6:32:33:E9:E9,2020-06-25 16:34:21.133231,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-25,0.19
64,DC:A6:32:33:E9:E9,2020-06-25 16:34:22.045717,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
65,DC:A6:32:33:E9:E9,2020-06-25 16:34:23.033258,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
66,DC:A6:32:33:E9:E9,2020-06-25 16:34:24.083860,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
67,DC:A6:32:33:E9:E9,2020-06-25 16:34:25.375723,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-34,0.19
68,DC:A6:32:33:E9:E9,2020-06-25 16:34:26.665080,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
69,DC:A6:32:33:E9:E9,2020-06-25 16:34:27.068038,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
70,DC:A6:32:33:E9:E9,2020-06-25 16:34:28.115714,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
71,DC:A6:32:33:E9:E9,2020-06-25 16:34:29.233846,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-25,0.19
72,DC:A6:32:33:E9:E9,2020-06-25 16:34:30.321328,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
73,DC:A6:32:33:E9:E9,2020-06-25 16:34:31.423215,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
74,DC:A6:32:33:E9:E9,2020-06-25 16:34:32.518817,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
75,DC:A6:32:33:E9:E9,2020-06-25 16:34:33.056766,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
76,DC:A6:32:33:E9:E9,2020-06-25 16:34:34.715706,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
77,DC:A6:32:33:E9:E9,2020-06-25 16:34:35.394451,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
78,DC:A6:32:33:E9:E9,2020-06-25 16:34:36.223206,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
79,DC:A6:32:33:E9:E9,2020-06-25 16:34:37.478212,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
80,DC:A6:32:33:E9:E9,2020-06-25 16:34:38.192032,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
81,DC:A6:32:33:E9:E9,2020-06-25 16:34:40.196946,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
82,DC:A6:32:33:E9:E9,2020-06-25 16:34:41.333816,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
83,DC:A6:32:33:E9:E9,2020-06-25 16:34:42.823201,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-29,0.19
